year,make,model,transmission,color,interior,sellingprice,saledate
2013,Infiniti,G Sedan,automatic,black,black,19900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,blue,black,20250,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,M,automatic,silver,black,33500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Mazda,Mazda3,automatic,blue,black,11800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,black,black,17250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,white,gray,19000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,black,tan,22500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Lexus,RX 350,automatic,burgundy,black,37750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,black,black,12000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,white,black,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mazda,Mazda5,automatic,gray,black,13000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Mitsubishi,Lancer,automatic,blue,black,18900,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,manual,black,black,28750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,MINI,Cooper Clubman,automatic,white,black,14000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,automatic,black,black,57250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Mazda,Mazda5,automatic,black,black,15000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,automatic,black,gray,21750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,gray,black,23000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,gray,black,13500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,M,automatic,silver,black,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,beige,13750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Forte,automatic,gray,gray,10400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Kia,Rio,automatic,red,gray,9500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,red,black,17000,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Sport,automatic,black,gray,60000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Lexus,ES 350,automatic,gray,beige,29300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,automatic,gray,black,30750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,automatic,white,gray,32250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Lexus,GS 350,automatic,black,gray,31000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,M,automatic,black,black,33500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,black,black,19900,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander,automatic,brown,black,14600,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Mitsubishi,Lancer,automatic,red,black,10100,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,automatic,white,black,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,automatic,black,black,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Lexus,GS 350,automatic,gold,brown,34500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,MINI,Cooper,automatic,red,black,12500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,white,black,8000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,black,gray,9200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Volvo,XC60,automatic,white,black,22900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Sienna,automatic,gray,tan,18000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Juke,automatic,gray,black,14400,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,automatic,white,gray,7800,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,silver,black,2800,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,NV,automatic,white,gray,14000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,orange,black,14100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,white,gray,4500,Wed Dec 17 2014 15:10:00 GMT-0800 (PST)
2013,Volkswagen,CC,automatic,black,black,17100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volvo,XC60,automatic,blue,black,20600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,automatic,red,beige,13500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Camry,automatic,black,gray,22000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,automatic,blue,gray,20500,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,white,black,11800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Impreza WRX,manual,blue,black,23750,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,black,black,20250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,FJ Cruiser,automatic,black,black,24200,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2013,Subaru,Impreza WRX,manual,blue,black,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,white,black,11400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Avalon,automatic,silver,silver,19500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Scion,FR-S,automatic,red,black,10600,Tue Dec 23 2014 13:30:00 GMT-0800 (PST)
2013,Nissan,NV200,automatic,white,gray,16000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,RAV4,automatic,gray,gray,7000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,burgundy,black,4900,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,gray,black,11000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,silver,black,11800,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,gray,black,15500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,beige,tan,14750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,FJ Cruiser,automatic,brown,black,27000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Scion,tC,manual,gray,black,14400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Maxima,automatic,white,black,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Cayenne,automatic,gray,black,46500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,911,automatic,black,black,88500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,silver,black,13500,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,black,black,11400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,black,black,12900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Xterra,automatic,black,gray,18300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,blue,black,9500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,gray,black,13400,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,red,black,12200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,black,black,13900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Xterra,automatic,gray,gray,19200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Prius,automatic,silver,gray,14800,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,blue,tan,10300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volvo,S80,automatic,black,black,25750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
